epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1375.61,0.82002,1.08133,0.54639,0.95864,0.80214,0.64906,0.69326,0.52941,0.7844,0.63495,0.66121,0.49831,1.45435,2.60711,1.28355,1.17488,0.000522771,0.000522771,0.000522771
106,1388.02,0.81461,1.07082,0.53297,0.95652,0.8107,0.6339,0.69309,0.53065,0.79878,0.62591,0.65628,0.49304,1.45881,2.68573,1.27149,1.17404,0.000511769,0.000511769,0.000511769
107,1400.94,0.79432,1.05433,0.52756,0.95274,0.78591,0.64807,0.69367,0.52878,0.81347,0.61062,0.65714,0.49416,1.45258,2.58907,1.30421,1.16839,0.000500767,0.000500767,0.000500767
108,1413.78,0.79718,1.03365,0.52918,0.96182,0.80351,0.64761,0.68802,0.52422,0.77533,0.62932,0.65095,0.4936,1.44032,2.67935,1.32284,1.15989,0.000489765,0.000489765,0.000489765
109,1426,0.80873,1.06772,0.53303,0.95703,0.81342,0.55166,0.68423,0.52595,0.79846,0.5447,0.64577,0.48839,1.45703,2.63628,1.32956,1.16205,0.000478762,0.000478762,0.000478762
110,1438.99,0.7893,1.03013,0.52435,0.95007,0.81291,0.62188,0.68197,0.52897,0.78686,0.61821,0.6485,0.49117,1.45222,2.68101,1.2852,1.17114,0.00046776,0.00046776,0.00046776
111,1451.51,0.80038,1.05492,0.52574,0.95655,0.76162,0.66025,0.70468,0.537,0.79593,0.61609,0.6669,0.50017,1.44112,2.56883,1.26991,1.15886,0.000456758,0.000456758,0.000456758
112,1464.95,0.7837,1.04956,0.51405,0.94217,0.82731,0.61486,0.67754,0.51504,0.8093,0.60249,0.64248,0.4862,1.47259,2.68879,1.38927,1.18347,0.000445756,0.000445756,0.000445756
113,1477.99,0.7995,1.05174,0.51917,0.95367,0.81948,0.61806,0.68465,0.52661,0.79259,0.60395,0.64331,0.48962,1.44787,2.6542,1.34527,1.16889,0.000434754,0.000434754,0.000434754
114,1490.99,0.7922,1.05964,0.51797,0.95168,0.80295,0.66794,0.70748,0.53341,0.78164,0.6504,0.66803,0.50081,1.4494,2.5846,1.21104,1.17317,0.000423751,0.000423751,0.000423751
115,1504.24,0.7891,1.04539,0.52235,0.94372,0.81988,0.63496,0.69106,0.52223,0.80638,0.62406,0.65245,0.48633,1.45579,2.62808,1.2738,1.17873,0.000412749,0.000412749,0.000412749
116,1516.63,0.77055,1.00695,0.51442,0.94971,0.80073,0.64459,0.69057,0.5177,0.77204,0.62302,0.65141,0.48808,1.47007,2.64339,1.2512,1.18119,0.000401747,0.000401747,0.000401747
117,1529.51,0.78833,1.05508,0.51794,0.94808,0.81142,0.63082,0.69163,0.52723,0.80305,0.6177,0.65614,0.49443,1.45101,2.63625,1.32737,1.1756,0.000390745,0.000390745,0.000390745
118,1542.53,0.77071,1.03229,0.50377,0.9402,0.82879,0.63795,0.68174,0.51864,0.81655,0.62005,0.64905,0.49361,1.46065,2.6664,1.36421,1.17725,0.000379743,0.000379743,0.000379743
119,1554.73,0.76908,1.0139,0.50704,0.95024,0.80399,0.64901,0.69523,0.52641,0.77508,0.63316,0.65771,0.49305,1.44401,2.70175,1.32834,1.17125,0.00036874,0.00036874,0.00036874
120,1567.02,0.77033,1.02089,0.50513,0.94143,0.79392,0.64366,0.68914,0.5248,0.77265,0.62879,0.65455,0.49265,1.4509,2.68591,1.37005,1.17482,0.000357738,0.000357738,0.000357738
121,1579.52,0.77031,1.00816,0.50372,0.94202,0.82625,0.6255,0.6893,0.52576,0.80953,0.61031,0.64849,0.49062,1.45975,2.63769,1.30133,1.17363,0.000346736,0.000346736,0.000346736
122,1591.97,0.76427,1.01348,0.49783,0.93047,0.80735,0.624,0.6841,0.51784,0.79179,0.61525,0.64857,0.48943,1.45348,2.71842,1.37805,1.16979,0.000335734,0.000335734,0.000335734
123,1605.36,0.75249,0.99701,0.49962,0.93843,0.84063,0.62784,0.70112,0.53144,0.81506,0.61468,0.66179,0.49452,1.43464,2.71831,1.29625,1.16505,0.000324732,0.000324732,0.000324732
124,1618.36,0.75852,0.99825,0.498,0.94155,0.82131,0.611,0.68671,0.51877,0.81183,0.60087,0.64671,0.48894,1.43975,2.70533,1.34361,1.16737,0.000313729,0.000313729,0.000313729
125,1631.37,0.74715,0.98182,0.49141,0.93849,0.82109,0.63862,0.69528,0.52431,0.80493,0.62253,0.65822,0.4967,1.4525,2.67545,1.29285,1.17384,0.000302727,0.000302727,0.000302727
